0.011210,-0.000948,-0.000466,-0.000899,-0.000839,0.001013,-0.000335,0.003990,-0.011360,-0.000107
-0.051616,-0.037904,-0.018654,-0.035943,-0.033574,0.040520,-0.013397,0.159600,0.045582,-0.004294
0.033108,0.009878,0.013130,0.010219,0.015159,0.033393,-0.000682,-0.062721,-0.068454,0.002665
0.016730,0.036838,0.009445,0.015953,-0.110193,-0.018742,0.106022,0.315706,-0.394352,0.000259
-0.077295,-0.059565,-0.040458,0.091965,-0.010682,-0.076355,-0.048454,0.112092,0.201951,-0.021953
-0.039531,-0.020933,0.074861,-0.020907,-0.026493,-0.032143,-0.002222,0.114352,-0.019151,0.001436
0.030216,0.093658,-0.005846,-0.005981,-0.005363,0.008525,-0.002407,-0.074133,-0.033454,0.003160
0.022160,-0.018770,-0.010941,-0.017778,0.108533,0.021156,-0.006738,-0.077739,0.004709,0.000298
-0.012904,-0.009476,-0.004663,-0.008986,-0.008394,0.010130,-0.003349,-0.210100,0.261396,-0.001073
0.004372,0.000727,-0.006455,0.000774,0.001280,0.003584,-0.000157,-0.005158,-0.009828,0.009778
